session_date,rows,first_time_et,last_time_et,exact_spx_1459,exact_spx_1559,missing_spx_final_120m,missing_vix_final_120m,max_vix_staleness_final_120m,vix_1359_valid,vix_1429_valid,vix_1444_valid,vix_1459_valid,strict_eligible,relaxed_eligible,strict_reason,relaxed_reason
2023-01-03,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-04,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-05,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-06,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-09,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-10,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-11,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-12,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-13,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
2023-01-17,390,09:30:00,15:59:00,False,False,120,120,,False,False,False,False,False,False,no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations in final 120m,"no exact SPX 14:59; no exact SPX 15:59; 120 missing SPX observations in final 120m; 120 missing VIX observations exceeds relaxed limit; invalid VIX feature endpoints: vix_1359_valid, vix_1429_valid, vix_1444_valid, vix_1459_valid"
